Anderlecht        292001085426 68
Genk              292003066530 66
Standard_Liege    291706065733 57
Gent              291708044836 55
Charleroi         291307094136 48
Club_Brugge       291308084934 47
Westerlo          291210073637 43
Oostende          291110084143 41
Eupen             290812093035 33
Excelsior_Mouscron290812094049 33
KV_Mechelen       290814072330 31
Zulte-Waregem     290713093547 30
Sint-Truiden      290615083246 26
Lokeren           290411142638 26
Waasland_Beveren  290416092751 21
KV_Kortrijk       290319072457 16
